p, k, b/c, n, result
0.02,4.1,2.1, 633, 0
0.02,3.96,2.1, 47, 0
0.02,3.84,2.1, 277, 0
0.02,4.0,2.1, 46, 0
0.02,4.02,2.1, 127, 0
0.02,3.88,2.1, 110, 0
0.02,4.06,2.1, 26, 0
0.02,4.0,2.1, 175, 0
0.02,3.94,2.1, 131, 0
0.02,4.1,2.1, 126, 0
0.02,3.9,2.1, 415, 0
0.02,3.72,2.1, 1059, 0
0.02,4.18,2.1, 49, 0
0.02,4.14,2.1, 155, 0
0.02,4.26,2.1, 10000, 15
0.02,3.76,2.1, 24, 0
0.02,3.74,2.1, 761, 0
0.02,4.16,2.1, 46, 0
0.02,4.12,2.1, 162, 0
0.02,4.06,2.1, 35, 0
0.02,4.08,2.1, 203, 0
0.02,3.76,2.1, 162, 0
0.02,4.02,2.1, 21, 0
0.02,3.52,2.1, 10, 0
0.02,4.1,2.1, 246, 0
0.02,4.1,2.1, 21, 0
0.02,3.9,2.1, 29, 0
0.02,4.16,2.1, 7, 0
0.02,3.98,2.1, 29, 0
0.02,3.42,2.1, 56, 0
0.02,3.96,2.1, 54, 0
0.02,3.86,2.1, 20, 0
0.02,3.94,2.1, 0, 0
0.02,3.7,2.1, 1, 0
0.02,4.12,2.1, 29, 0
0.02,3.74,2.1, 70, 0
0.02,3.62,2.1, 705, 0
0.02,3.56,2.1, 211, 0
0.02,3.98,2.1, 0, 0
0.02,4.12,2.1, 13, 0
0.02,3.58,2.1, 15, 0
0.02,3.88,2.1, 323, 0
0.02,4.12,2.1, 31, 0
0.02,3.96,2.1, 53, 0
0.02,4.28,2.1, 19, 0
0.02,4.02,2.1, 165, 0
0.02,3.92,2.1, 28, 0
0.02,4.06,2.1, 110, 0
0.02,4.18,2.1, 69, 0
0.02,4.3,2.1, 82, 0
0.02,3.86,2.1, 7228, 0
0.02,3.82,2.1, 15, 0
0.02,4.1,2.1, 927, 0
0.02,4.06,2.1, 63, 0
0.02,4.24,2.1, 21, 0
0.02,4.0,2.1, 305, 0
0.02,3.78,2.1, 12, 0
0.02,4.02,2.1, 105, 0
0.02,3.86,2.1, 90, 0
0.02,4.22,2.1, 1332, 0
0.02,3.66,2.1, 21, 0
0.02,4.12,2.1, 173, 0
0.02,4.08,2.1, 65, 0
0.02,3.98,2.1, 123, 0
0.02,3.86,2.1, 515, 0
0.02,3.86,2.1, 26, 0
0.02,3.82,2.1, 124, 0
0.02,4.14,2.1, 1628, 0
0.02,3.92,2.1, 16, 0
0.02,3.9,2.1, 23, 0
0.02,3.9,2.1, 413, 0
0.02,3.8,2.1, 482, 0
0.02,3.88,2.1, 944, 0
0.02,3.8,2.1, 5, 0
0.02,3.96,2.1, 29, 0
0.02,4.16,2.1, 7, 0
0.02,4.02,2.1, 756, 0
0.02,4.0,2.1, 9, 0
0.02,3.46,2.1, 77, 0
0.02,4.3,2.1, 40, 0
0.02,4.26,2.1, 11, 0
0.02,4.02,2.1, 23, 0
0.02,3.74,2.1, 2427, 0
0.02,3.76,2.1, 206, 0
0.02,3.66,2.1, 312, 0
0.02,3.86,2.1, 1764, 0
0.02,3.94,2.1, 83, 0
0.02,4.04,2.1, 275, 0
0.02,3.92,2.1, 4599, 0
0.02,3.92,2.1, 177, 0
