p, k, b/c, n, result
0.01,3.3,2.5, 31, 0
0.01,3.12,2.5, 86, 0
0.01,2.92,2.5, 176, 0
0.01,3.04,2.5, 1, 0
0.01,3.1,2.5, 1696, 0
0.01,3.06,2.5, 18, 0
0.01,3.24,2.5, 6, 0
0.01,2.66,2.5, 8, 0
0.01,2.72,2.5, 35, 0
0.01,3.04,2.5, 23, 0
0.01,2.98,2.5, 3901, 0
0.01,3.16,2.5, 264, 0
0.01,3.04,2.5, 231, 0
0.01,2.7,2.5, 35, 0
0.01,2.84,2.5, 68, 0
0.01,2.82,2.5, 292, 0
0.01,2.88,2.5, 66, 0
0.01,2.88,2.5, 11, 0
0.01,2.9,2.5, 71, 0
0.01,3.06,2.5, 349, 0
0.01,2.96,2.5, 79, 0
0.01,2.78,2.5, 131, 0
0.01,3.28,2.5, 78, 0
0.01,2.96,2.5, 5993, 0
0.01,2.92,2.5, 24, 0
0.01,3.06,2.5, 825, 0
0.01,2.96,2.5, 95, 0
0.01,2.94,2.5, 1126, 0
0.01,2.92,2.5, 5, 0
0.01,2.8,2.5, 115, 0
0.01,2.96,2.5, 40, 0
0.01,2.54,2.5, 142, 0
0.01,2.8,2.5, 218, 0
0.01,3.04,2.5, 36, 0
0.01,2.84,2.5, 1496, 0
0.01,3.04,2.5, 451, 0
0.01,3.08,2.5, 968, 0
0.01,2.64,2.5, 691, 0
0.01,2.72,2.5, 29, 0
0.01,3.06,2.5, 1148, 0
0.01,2.86,2.5, 790, 0
0.01,3.06,2.5, 997, 0
0.01,3.18,2.5, 91, 0
0.01,3.08,2.5, 43, 0
0.01,3.02,2.5, 39, 0
0.01,2.82,2.5, 68, 0
0.01,2.84,2.5, 185, 0
0.01,3.0,2.5, 20, 0
0.01,2.92,2.5, 65, 0
0.01,2.98,2.5, 65, 0
0.01,3.0,2.5, 85, 0
0.01,2.94,2.5, 33, 0
0.01,2.92,2.5, 53, 0
0.01,2.82,2.5, 66, 0
0.01,2.88,2.5, 93, 0
0.01,3.14,2.5, 267, 0
0.01,2.86,2.5, 70, 0
0.01,2.74,2.5, 50, 0
0.01,2.98,2.5, 3527, 100
0.01,3.04,2.5, 1, 0
0.01,2.96,2.5, 81, 0
0.01,3.1,2.5, 76, 0
0.01,3.02,2.5, 1, 0
0.01,3.04,2.5, 265, 0
0.01,3.26,2.5, 769, 0
0.01,3.24,2.5, 1390, 0
0.01,2.88,2.5, 216, 0
0.01,3.06,2.5, 21, 0
0.01,2.78,2.5, 39, 0
0.01,2.92,2.5, 62, 0
0.01,2.96,2.5, 187, 0
0.01,2.86,2.5, 184, 0
0.01,3.14,2.5, 3, 0
0.01,3.22,2.5, 50, 0
0.01,2.76,2.5, 54, 0
0.01,3.16,2.5, 27, 0
0.01,3.02,2.5, 464, 0
0.01,3.16,2.5, 63, 0
0.01,2.9,2.5, 308, 0
0.01,2.86,2.5, 3807, 0
0.01,2.98,2.5, 18, 0
0.01,3.0,2.5, 450, 0
0.01,3.04,2.5, 32, 0
0.01,2.86,2.5, 125, 0
0.01,2.72,2.5, 1828, 0
0.01,2.68,2.5, 123, 0
0.01,3.16,2.5, 19, 0
0.01,2.9,2.5, 19389, 0
0.01,2.78,2.5, 178, 0
0.01,3.0,2.5, 7, 0
0.01,3.12,2.5, 29, 0
0.01,3.12,2.5, 1, 0
0.01,2.92,2.5, 209, 0
0.01,3.12,2.5, 822, 0
0.01,3.1,2.5, 111, 0
0.01,3.0,2.5, 29, 0
0.01,3.08,2.5, 55, 0
0.01,2.8,2.5, 26, 0
0.01,3.16,2.5, 60, 0
0.01,2.9,2.5, 77, 0
0.01,2.78,2.5, 43, 0
0.01,2.98,2.5, 10, 0
0.01,3.06,2.5, 642, 0
0.01,3.04,2.5, 30, 0
0.01,2.9,2.5, 400, 0
0.01,2.82,2.5, 7, 0
0.01,2.96,2.5, 1532, 0
0.01,3.14,2.5, 44, 0
0.01,3.14,2.5, 3, 0
0.01,2.84,2.5, 56, 0
0.01,3.16,2.5, 2398, 0
0.01,2.76,2.5, 121, 0
0.01,3.12,2.5, 140, 0
0.01,2.74,2.5, 1142, 0
0.01,2.94,2.5, 857, 0
0.01,3.06,2.5, 71, 0
0.01,2.86,2.5, 88, 0
0.01,2.68,2.5, 1885, 0
0.01,3.12,2.5, 122, 0
0.01,3.28,2.5, 137, 0
0.01,2.88,2.5, 30, 0
0.01,2.88,2.5, 121, 0
0.01,2.94,2.5, 106, 0
0.01,2.98,2.5, 3, 0
0.01,3.06,2.5, 17, 0
0.01,2.82,2.5, 166, 0
0.01,3.24,2.5, 223, 0
0.01,2.66,2.5, 1397, 0
0.01,2.92,2.5, 114, 0
0.01,3.0,2.5, 660, 0
0.01,3.1,2.5, 4, 0
0.01,3.16,2.5, 57, 0
0.01,3.06,2.5, 6, 0
0.01,2.92,2.5, 76, 0
0.01,2.98,2.5, 11, 0
0.01,2.98,2.5, 271, 0
0.01,3.02,2.5, 609, 0
0.01,3.04,2.5, 21, 0
0.01,3.02,2.5, 2, 0
0.01,2.82,2.5, 8, 0
0.01,2.72,2.5, 840, 0
0.01,2.86,2.5, 4, 0
0.01,2.98,2.5, 3275, 0
0.01,3.24,2.5, 1, 0
0.01,2.66,2.5, 5, 0
0.01,2.94,2.5, 174, 0
0.01,2.86,2.5, 1191, 0
0.01,2.72,2.5, 8, 0
0.01,3.02,2.5, 182, 0
0.01,3.1,2.5, 441, 0
0.01,2.86,2.5, 746, 0
0.01,2.78,2.5, 1271, 0
0.01,2.78,2.5, 20, 0
0.01,3.32,2.5, 154, 0
0.01,3.06,2.5, 247, 0
0.01,2.78,2.5, 116, 0
0.01,3.2,2.5, 323, 0
0.01,2.94,2.5, 342, 0
0.01,2.68,2.5, 12, 0
0.01,2.88,2.5, 6, 0
0.01,2.92,2.5, 22778, 100
0.01,3.2,2.5, 39, 0
0.01,2.86,2.5, 98, 0
0.01,2.76,2.5, 20, 0
0.01,2.82,2.5, 77, 0
0.01,2.86,2.5, 30, 0
0.01,3.12,2.5, 22, 0
0.01,2.84,2.5, 741, 0
0.01,2.82,2.5, 258, 0
0.01,2.96,2.5, 143, 0
0.01,2.9,2.5, 1430, 0
0.01,3.0,2.5, 396, 0
0.01,3.0,2.5, 239, 0
0.01,3.0,2.5, 753, 0
0.01,3.56,2.5, 353, 0
0.01,2.86,2.5, 179, 0
0.01,2.84,2.5, 809, 0
0.01,3.04,2.5, 1, 0
0.01,3.12,2.5, 1406, 0
0.01,2.96,2.5, 219, 0
0.01,2.74,2.5, 66, 0
0.01,3.1,2.5, 152, 0
0.01,2.98,2.5, 761, 0
0.01,2.94,2.5, 250, 0
0.01,3.02,2.5, 54, 0
0.01,3.12,2.5, 46, 0
0.01,3.02,2.5, 3, 0
0.01,3.02,2.5, 601, 0
0.01,2.88,2.5, 100, 0
0.01,2.68,2.5, 173, 0
0.01,2.9,2.5, 144, 0
0.01,2.76,2.5, 18, 0
0.01,3.02,2.5, 145, 0
0.01,2.98,2.5, 7396, 0
0.01,3.04,2.5, 251, 0
0.01,2.94,2.5, 385, 0
0.01,2.7,2.5, 44, 0
0.01,3.1,2.5, 10, 0
0.01,2.94,2.5, 17, 0
0.01,2.9,2.5, 55, 0
0.01,3.16,2.5, 7, 0
0.01,2.9,2.5, 66, 0
0.01,3.14,2.5, 330, 0
0.01,2.8,2.5, 4, 0
0.01,3.18,2.5, 133, 0
0.01,2.74,2.5, 22, 0
0.01,3.04,2.5, 330, 0
0.01,3.0,2.5, 124, 0
0.01,2.88,2.5, 291, 0
0.01,2.84,2.5, 161, 0
